,1 Month,3 Month,6 Month,1 Year,2 Year,3 Year,5 Year,7 Year,10 Year,20 Year,30 Year
2007-06-01,4.8,4.79,4.98,4.98,4.97,4.94,4.92,4.92,4.95,5.15,5.06
2007-06-04,4.78,4.81,4.99,4.99,4.97,4.92,4.91,4.91,4.93,5.11,5.02
2007-06-05,4.75,4.83,4.99,4.99,4.99,4.97,4.96,4.96,4.98,5.16,5.07
2007-06-06,4.78,4.8,4.95,4.96,4.97,4.94,4.94,4.94,4.97,5.17,5.08
2007-06-07,4.8,4.8,4.97,4.99,5.03,5.03,5.05,5.07,5.11,5.29,5.2
2007-06-08,4.76,4.77,4.93,4.96,5.01,5.03,5.06,5.08,5.12,5.3,5.22
2007-06-11,4.7,4.73,4.96,4.98,5.01,5.03,5.07,5.1,5.14,5.32,5.24
2007-06-12,4.65,4.72,4.97,5.01,5.08,5.13,5.18,5.21,5.26,5.44,5.35
2007-06-13,4.62,4.66,4.94,4.98,5.08,5.1,5.13,5.16,5.2,5.36,5.28
2007-06-14,4.51,4.65,4.93,4.98,5.1,5.13,5.16,5.19,5.23,5.39,5.3
2007-06-15,4.46,4.56,4.87,4.93,5.05,5.07,5.1,5.12,5.16,5.34,5.26
2007-06-18,4.47,4.63,4.93,4.95,5.01,5.05,5.07,5.1,5.15,5.34,5.26
2007-06-19,4.44,4.65,4.91,4.92,4.94,4.98,5.0,5.03,5.09,5.28,5.2
2007-06-20,4.42,4.74,4.97,4.97,4.97,5.01,5.05,5.09,5.14,5.32,5.24
2007-06-21,4.17,4.7,4.96,4.96,4.98,5.01,5.06,5.1,5.16,5.36,5.28
2007-06-22,4.29,4.73,4.95,4.94,4.92,4.97,5.02,5.07,5.14,5.34,5.25
2007-06-25,4.43,4.82,5.01,4.96,4.87,4.92,4.97,5.01,5.09,5.28,5.2
2007-06-26,4.53,4.82,5.01,4.97,4.9,4.95,4.99,5.03,5.1,5.31,5.22
2007-06-27,4.24,4.77,4.95,4.93,4.91,4.93,4.97,5.02,5.09,5.28,5.2
2007-06-28,4.08,4.78,4.95,4.95,4.96,4.98,5.02,5.06,5.12,5.3,5.22
2007-06-29,4.28,4.82,4.93,4.91,4.87,4.89,4.92,4.96,5.03,5.21,5.12
2007-07-02,4.55,4.95,5.02,4.97,4.86,4.86,4.9,4.93,5.0,5.18,5.09
2007-07-03,4.77,4.95,5.02,4.98,4.89,4.9,4.95,4.99,5.05,5.22,5.14
2007-07-04,,,,,,,,,,,
2007-07-05,4.76,4.95,5.03,5.02,4.99,5.0,5.05,5.1,5.16,5.32,5.24
2007-07-06,4.71,4.95,5.01,5.0,4.99,5.02,5.1,5.14,5.19,5.36,5.28
2007-07-09,4.68,4.97,5.05,5.03,4.97,5.0,5.07,5.11,5.16,5.32,5.25
2007-07-10,4.74,4.95,5.03,4.97,4.85,4.87,4.93,4.97,5.03,5.21,5.14
2007-07-11,4.73,4.95,5.04,4.99,4.89,4.9,4.98,5.02,5.09,5.26,5.18
2007-07-12,4.73,4.97,5.05,5.02,4.94,4.97,5.03,5.08,5.13,5.29,5.22
2007-07-13,4.72,4.97,5.05,5.01,4.94,4.95,5.01,5.05,5.11,5.27,5.19
2007-07-16,4.75,4.98,5.08,5.01,4.89,4.89,4.95,4.99,5.05,5.21,5.14
2007-07-17,4.77,4.96,5.08,5.02,4.91,4.92,4.98,5.02,5.08,5.24,5.16
2007-07-18,4.77,4.96,5.05,4.98,4.84,4.86,4.91,4.95,5.02,5.18,5.1
2007-07-19,4.78,4.98,5.06,5.0,4.87,4.88,4.94,4.98,5.04,5.2,5.12
2007-07-20,4.76,4.97,5.05,4.96,4.79,4.78,4.85,4.9,4.96,5.14,5.07
2007-07-23,4.88,5.02,5.1,5.0,4.8,4.81,4.86,4.9,4.97,5.15,5.07
2007-07-24,5.05,5.02,5.08,4.97,4.77,4.76,4.82,4.87,4.94,5.13,5.05
2007-07-25,5.04,4.99,5.05,4.95,4.74,4.74,4.8,4.85,4.92,5.12,5.04
2007-07-26,4.98,4.92,4.96,4.83,4.56,4.54,4.61,4.68,4.79,5.02,4.95
2007-07-27,4.89,4.85,4.94,4.82,4.56,4.53,4.6,4.68,4.8,5.03,4.95
2007-07-30,4.95,4.96,5.0,4.87,4.59,4.57,4.64,4.71,4.82,5.05,4.97
2007-07-31,5.13,4.96,4.99,4.85,4.56,4.55,4.6,4.67,4.78,5.0,4.92
2007-08-01,5.05,4.89,4.96,4.82,4.56,4.53,4.6,4.66,4.76,4.99,4.9
2007-08-02,5.02,4.89,4.95,4.83,4.59,4.57,4.62,4.68,4.77,5.0,4.91
2007-08-03,4.94,4.85,4.91,4.76,4.46,4.45,4.52,4.59,4.71,4.96,4.87
2007-08-06,4.92,4.88,4.92,4.76,4.46,4.45,4.52,4.6,4.72,4.98,4.89
2007-08-07,5.05,4.94,4.98,4.84,4.56,4.55,4.6,4.66,4.77,5.01,4.92
2007-08-08,5.04,4.95,5.01,4.89,4.64,4.64,4.69,4.75,4.84,5.11,5.01
2007-08-09,4.7,4.81,4.86,4.74,4.49,4.51,4.58,4.66,4.79,5.1,5.02
2007-08-10,4.38,4.57,4.8,4.69,4.47,4.51,4.59,4.68,4.81,5.11,5.03
2007-08-13,4.61,4.74,4.9,4.75,4.46,4.49,4.57,4.65,4.78,5.09,5.01
2007-08-14,4.62,4.64,4.81,4.67,4.39,4.42,4.51,4.6,4.73,5.06,4.99
2007-08-15,4.18,4.21,4.48,4.41,4.27,4.31,4.41,4.52,4.69,5.07,5.0
2007-08-16,3.13,3.79,4.22,4.18,4.08,4.15,4.26,4.39,4.6,4.99,4.92
2007-08-17,3.03,3.76,4.19,4.19,4.18,4.25,4.35,4.47,4.68,5.06,5.0
2007-08-20,2.47,3.12,4.17,4.15,4.11,4.19,4.32,4.44,4.64,5.04,4.98
